Brand,Model,Year,image_file,Total megapixels,Max_Exposure_Comp,Normal_Focus_cm,Battery,Sensor resolution,Crop factor,Sensor type,Dimensions,Max aperture,Min_Aperture_F,Min_Shutter_Speed_Sec,White balance presets,Macro_Focus_cm,Optical zoom,USB,Weight_g,Max. aperture (35mm equiv.),Focal length (35mm equiv.),Also known as,Aperture priority,Max. image resolution,Max_Shutter_Speed_Sec,Storage types,Effective megapixels,Megapixels,Max. video resolution,Screen_Size_in,Metering,Digital zoom,Shutter priority,Sensor size,Viewfinder,Screen_Res_Dots,Max_ISO,Dim_L,Dim_W,Dim_H,Supports_4K,Portability_Score,Aperture_Value,LowLight_Score,Video_Score
Sony,a7R IV,2019,data/images/sony_a7r-iv.jpg,62.5,5,,NP-FZ100 lithium-ion battery,9566 x 6377,1.01,CMOS,128.9 x 96.4 x 77.5 mm,,,30,9,,,USB 3.0 (5 GBit/sec),665,,,,Yes,9504 x 6336,0.000125,SD/SDHC/SDXC,61,,3840x2160 (30p/�?5p/�?4p),3,"Multi, Center-weighted, Highlight-weighted, Average, Spot",Yes,Yes,35.7 x 23.8 mm,Electronic,1440000,102400,128.9,96.4,77.5,TRUE,20,,71.06525376,68.49832683
Sony,a6600,2019,data/images/sony_a6600.jpg,25,5,,NP-FZ1000 ilthium-ion battery,6045 x 4003,1.53,CMOS,120 x 66.9 x 69.3 mm,,,30,8,,,USB 2.0 (480 Mbit/sec),503,,,,Yes,6000 x 4000,0.00025,"SD/SDHC/SDXC, MS Pro Duo",24.2,,3840x2160 (30p/�?5p/�?4p),3,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,23.5 x 15.6 mm,Electronic,921600,102400,120,66.9,69.3,TRUE,20,,70.33184607,71.22559955
Sony,Alpha a9 II,2019,data/images/sony_alpha-a9-ii.jpg,28.3,5,,NP-FZ100 lithium-ion battery,6026 x 4017,1.01,CMOS,128.9 x 96.4 x 77.5 mm,,,30,9,,,USB 3.0 (5 GBit/sec),678,,,,Yes,6000 x 4000,3.13E-05,SD/SDHC/SDXC,24.2,,3840x2160 (30p/�?5p/�?4p),3,"Multi, Center-weighted, Highlight-weighted, Average, Spot",Yes,Yes,35.6 x 23.8 mm,Electronic,1440000,204800,128.9,96.4,77.5,TRUE,20,,71.53931958,67.08031233
Sony,Cyber-shot DSC-RX100 VII,2019,data/images/sony_cyber-shot-dsc-rx100-vii.jpg,,3,8,NP-BX1 lithium-ion battery,5492 x 3661,2.73,CMOS,101.6 x 58.1 x 42.8 mm,f2.8 - f4.5,2.8,30,8,,8x,USB 2.0 (480 Mbit/sec),302,f7.6 - f12.3,24 - 200 mm,,Yes,5472 x 3648,0.0005,"SD/ SDHC/SDXC, MS Pro Duo",,20.1,3840x2160 (30p/�?5p/�?4p),3,"Multi, Center-weighted, Highlight-weighted, Average, Spot",Yes,Yes,13.2 x 8.8 mm,Electronic,921600,25600,101.6,58.1,42.8,TRUE,30.12269939,0.357142857,85.55075293,79.55800335
Sony,Alpha a6400,2019,data/images/sony_a6400.jpg,25,5,,NP-FW50 lithium-ion battery,6045 x 4003,1.53,CMOS,120 x 66.9 x 59.7 mm,,,30,10,,,USB 2.0 (480 Mbit/sec),403,,,,Yes,6000 x 4000,0.00025,SD/SDHC/SDXC/MS PRO Duo,24.2,,3840x2160 (30p/25p/24p),3,"Multi, Center-weighted, Highlight-weighted, Spot",Yes,Yes,23.5 x 15.6 mm,Electronic,921600,102400,120,66.9,59.7,TRUE,20,,70.33184607,71.22559955
Sony,a6100,2019,data/images/sony_a6100.jpg,25,5,,NP-FW50 lithium-ion battery,6045 x 4003,1.53,CMOS,120 x  66.9 x 59.4 mm,,,30,10,,,USB 2.0 (480 Mbit/sec),396,,,,Yes,6000 x 4000,0.00025,"SD/SDHC/SDXC, MS Pro Duo",24.2,,3840x2160 (30p/�?5p/�?4p),3,"Multi, Center-weighted, Spot",Yes,Yes,23.5 x 15.6 mm,Electronic,921600,51200,120,66.9,59.4,TRUE,20,,69.60680424,71.22559955
Canon,EOS-1D X Mark III,2020,data/images/canon_eos-1d-x-mark-iii.jpg,21.4,5,,LP-E19 lithium-ion battery,5492 x 3661,1,CMOS,158 x 167.6 x 82.6 mm,,,30,7,,,USB 3.0 (5 GBit/sec),1440,,,,Yes,5472 x 3648,0.000125,CFexpress type B,20.1,,5472x2286 (60p/�?0p/�?0p/�?5p/�?4p),3.2,"Multi, Center-weighted, Spot, Partial",,Yes,36 x 24 mm,Optical (pentaprism),2100000,819200,158,167.6,82.6,FALSE,20,,72.19604016,33.14974902
Canon,EOS R6,2020,data/images/canon_eos-r6.jpg,21.4,3,,LP-E6NH lithium-ion battery,5492 x 3661,1,CMOS,138.4 x 97.5 x 88.4 mm,,,30,8,,,USB 3.0 (5 GBit/sec),680,,,,Yes,5472 x 3648,0.000125,SD/SDHC/SDXC/UHS-II,20.1,,3840x2160 (60p/�?0p/�?3.98p),3,"Multi, Center-weighted, Spot, Partial",,Yes,35.9 x 23.9 mm,Electronic,1620000,204800,138.4,97.5,88.4,TRUE,20,,71.85443391,68.49832683
Canon,EOS 850D,2020,data/images/canon_eos-850d.jpg,25.8,5,,LP-E17 lithium-ion battery,6012 x 4008,1.61,CMOS,131 x 102.6 x 76.2 mm,,,30,6,,,USB 2.0 (480 Mbit/sec),515,,,"EOS Rebel T8i(US),EOS Kiss X10i(Japan)",Yes,6000 x 4000,0.00025,SD/SDHC/SDXC,24.1,,3840x2160 (25p),3,"Multi, Center-weighted, Spot, Partial",,Yes,22.3 x 14.9 mm,Optical (pentamirror),1040000,51200,131,102.6,76.2,TRUE,20,,68.88733965,71.22559955
Canon,EOS R5,2020,data/images/canon_eos-r5.jpg,47.1,3,,LP-E6NH lithium-ion battery,8216 x 5477,1,CMOS,138.5 x 97.5 x 88 mm,,,30,8,,,USB 3.0 (5 GBit/sec),738,,,,Yes,8192 x 5464,0.000125,"SD/SDHC/SDXC, CFexpress",45,,8192x4320 (30p/�?4/�?3.98p),3.2,"Multi, Center-weighted, Spot, Partial",,Yes,36 x 24 mm,Electronic,2100000,102400,138.5,97.5,88,FALSE,20,,71.3803681,33.14974902
